,location,size_BHK,total_sqft,bathroom,price_lakhs
0, Devarachikkanahalli,3,1250.0,2.0,44.0
1, Devarachikkanahalli,2,1250.0,2.0,40.0
2, Devarachikkanahalli,2,1200.0,2.0,83.0
3, Devarachikkanahalli,2,1170.0,2.0,40.0
4, Devarachikkanahalli,3,1425.0,2.0,65.0
5, Devarachikkanahalli,2,947.0,2.0,43.0
6, Devarachikkanahalli,2,1130.0,2.0,36.0
7, Devarachikkanahalli,3,1417.0,2.0,76.0
8, Devarachikkanahalli,2,1230.0,2.0,58.0
9, Devarachikkanahalli,3,1705.0,3.0,75.0
10, Devarachikkanahalli,2,1116.0,2.0,47.0
11, Devarachikkanahalli,2,991.0,2.0,40.0
12, Devarachikkanahalli,3,1700.0,3.0,71.0
13,1st Block Jayanagar,3,1630.0,3.0,194.0
14,1st Block Jayanagar,3,1875.0,2.0,235.0
15,1st Block Jayanagar,3,1200.0,2.0,130.0
16,1st Block Jayanagar,2,1235.0,2.0,148.0
17,1st Phase JP Nagar,4,2825.0,4.0,250.0
18,1st Phase JP Nagar,3,1875.0,3.0,167.0
19,1st Phase JP Nagar,5,1500.0,5.0,85.0
20,1st Phase JP Nagar,3,2065.0,4.0,210.0
21,1st Phase JP Nagar,3,2024.0,3.0,157.0
22,1st Phase JP Nagar,3,2059.0,3.0,225.0
23,1st Phase JP Nagar,2,1394.0,2.0,100.0
24,1st Phase JP Nagar,2,1077.0,2.0,93.0
25,1st Phase JP Nagar,2,1566.0,2.0,180.0
26,1st Phase JP Nagar,1,840.0,2.0,50.0
27,1st Phase JP Nagar,3,1590.0,3.0,131.0
28,1st Phase JP Nagar,3,2180.0,3.0,210.0
29,1st Phase JP Nagar,2,1180.0,2.0,88.5
30,1st Phase JP Nagar,2,1200.0,2.0,86.0
31,1st Phase JP Nagar,2,1394.0,2.0,85.0
32,1st Phase JP Nagar,3,2077.0,3.0,175.0
33,1st Phase JP Nagar,4,4550.0,2.0,240.0
34,1st Phase JP Nagar,2,1205.0,2.0,85.0
35,1st Phase JP Nagar,4,2615.0,5.0,222.0
36,1st Phase JP Nagar,2,900.0,2.0,75.0
37,2nd Phase Judicial Layout,3,1450.0,2.0,50.75
38,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
39,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
40,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
41,2nd Phase Judicial Layout,2,900.0,2.0,41.0
42,2nd Phase Judicial Layout,3,1681.0,3.0,69.0
43,2nd Phase Judicial Layout,3,1350.0,2.0,47.25
44,2nd Phase Judicial Layout,2,1150.0,2.0,40.25
45,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0
46,2nd Stage Nagarbhavi,4,1350.0,4.0,200.0
47,5th Block Hbr Layout,2,1206.0,2.0,56.0
48,5th Block Hbr Layout,3,1270.0,2.0,70.0
49,5th Block Hbr Layout,2,1312.0,2.0,69.0
50,5th Block Hbr Layout,2,1100.0,2.0,48.0
51,5th Block Hbr Layout,5,3600.0,5.0,130.0
52,5th Block Hbr Layout,6,5100.0,5.0,300.0
53,5th Phase JP Nagar,2,1075.0,2.0,60.0
54,5th Phase JP Nagar,2,1150.0,3.0,52.5
55,5th Phase JP Nagar,2,1256.0,2.0,62.8
56,5th Phase JP Nagar,2,1207.0,2.0,63.0
57,5th Phase JP Nagar,3,1725.0,2.0,100.0
58,5th Phase JP Nagar,2,1440.0,2.0,60.0
59,5th Phase JP Nagar,3,1700.0,2.0,100.0
